iter	Passed	Remaining
0	1	103
1	1	67
2	1	57
3	1	47
4	2	43
5	2	39
6	2	36
7	3	35
8	3	34
9	3	33
10	3	32
11	4	32
12	4	32
13	5	30
14	5	29
15	5	29
16	5	28
17	6	27
18	6	27
19	6	26
20	6	26
21	7	25
22	7	25
23	7	25
24	8	24
25	8	24
26	8	24
27	9	23
28	9	22
29	9	22
30	9	22
31	10	21
32	10	21
33	10	20
34	10	20
35	11	19
36	11	19
37	11	19
38	11	18
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	16
45	13	16
46	14	15
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	15	13
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	10
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	21	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	24	6
80	24	5
81	24	5
82	24	5
83	25	4
84	25	4
85	25	4
86	26	3
87	26	3
88	26	3
89	27	3
90	27	2
91	27	2
92	28	2
93	28	1
94	28	1
95	29	1
96	29	0
97	29	0
98	30	0
99	30	0
